hthg,htag,hs,hst,ast,hr,ar,result,index
1,0,10,4,5,0,0,1,466
0,0,20,9,2,0,0,0,467
0,0,12,3,7,0,0,-1,468
0,0,11,3,2,0,0,0,469
3,0,19,6,1,0,0,1,470
0,0,15,8,7,0,0,-1,471
1,0,17,6,5,0,0,1,472
2,0,10,5,6,0,0,-1,473
0,0,13,3,1,0,0,0,474
1,2,13,2,5,0,0,-1,475
0,2,16,3,5,0,0,-1,476
1,1,6,2,6,0,0,1,477
1,1,8,3,6,0,0,0,478
2,0,16,6,1,0,0,1,479
1,0,19,6,6,0,0,-1,480
1,1,23,11,3,0,0,1,481
1,1,9,4,6,1,0,-1,482
1,1,4,1,4,0,0,-1,483
2,0,6,3,2,0,0,1,484
1,0,11,6,3,0,0,1,485
1,1,12,4,3,0,0,-1,486
1,1,13,7,8,0,0,-1,487
0,0,16,7,2,0,0,-1,488
1,0,12,7,3,0,0,1,489
0,0,11,2,2,0,0,0,490
1,0,9,4,3,0,0,1,491
1,0,16,6,0,0,0,1,492
0,1,16,5,6,0,0,0,493
1,0,10,5,6,0,0,0,494
0,0,18,6,2,1,0,-1,495
3,0,15,6,4,0,0,1,496
0,0,12,4,3,0,0,1,497
1,1,26,7,1,0,0,0,498
0,1,9,4,3,1,0,0,499
1,1,25,10,4,0,0,1,500
0,1,14,2,6,0,0,-1,501
0,0,9,4,4,0,0,0,502
1,1,17,11,2,0,0,1,503
0,1,9,2,2,0,1,0,504
0,0,27,7,4,0,0,0,505
1,2,12,6,8,0,0,-1,506
0,3,5,3,8,0,0,-1,507
0,1,9,3,5,0,0,-1,508
2,1,9,2,2,0,0,1,509
0,1,12,5,4,0,1,0,510
0,0,21,5,3,0,1,0,511
0,1,8,3,4,0,0,-1,512
4,1,26,14,3,0,0,1,513
0,1,1,1,10,1,0,-1,514
1,0,10,4,3,0,0,1,515
1,0,11,7,0,0,0,1,516
1,1,10,2,4,0,0,0,517
1,0,21,10,6,1,0,1,518
0,0,10,1,2,0,0,0,519
2,0,15,7,3,0,0,1,520
1,0,11,6,2,0,0,1,521
